INFO  - 2016-05-13 10:57:57.854; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2016-05-13 10:57:57.854; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/dist/solr-clustering-4.10.4.jar' to classloader
INFO  - 2016-05-13 10:57:57.855; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2016-05-13 10:57:57.856; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2016-05-13 10:57:57.856; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/dist/solr-langid-4.10.4.jar' to classloader
INFO  - 2016-05-13 10:57:57.857; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2016-05-13 10:57:57.857; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2016-05-13 10:57:57.858; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2016-05-13 10:57:57.858; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2016-05-13 10:57:57.858; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/dist/solr-velocity-4.10.4.jar' to classloader
INFO  - 2016-05-13 10:57:57.941; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2016-05-13 10:57:57.949; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.4
INFO  - 2016-05-13 10:57:58.138; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2016-05-13 10:57:58.146; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/conf/schema.xml
INFO  - 2016-05-13 10:57:58.188; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2016-05-13 10:57:58.722; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2016-05-13 10:57:58.739; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2016-05-13 10:57:58.740; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2016-05-13 10:57:58.840; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2016-05-13 10:57:58.848; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2016-05-13 10:57:58.987; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/
INFO  - 2016-05-13 10:57:59.011; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
